x	y	category	mutation_count
46	134	1	5615
46	135	1	6261
46	136	1	6326
46	141	1	6529
46	142	1	6308
46	144	1	5457
46	145	1	4878
46	146	1	7626
46	147	1	7083
46	154	1	6524
47	43	1	6737
47	52	1	5881
47	59	1	6796
47	69	1	7266
47	74	1	5416
47	75	1	5139
47	82	1	6563
47	87	1	5273
47	89	1	8204
47	90	1	4650
47	92	1	6934
47	93	1	4261
47	95	1	7545
47	96	1	6791
47	100	1	6478
47	104	1	5430
47	107	1	6223
47	109	1	6561
47	115	1	6965
47	121	1	4210
47	123	1	3914
47	129	1	5640
47	131	1	7310
47	133	1	5131
47	137	1	3737
47	138	1	6929
47	141	1	5497
47	144	1	6008
47	155	1	7812
47	156	1	5694
48	39	1	7952
48	41	1	6715
48	50	1	7655
48	57	1	5543
48	59	1	7642
48	65	1	7022
48	67	1	6311
48	69	1	4685
48	75	1	5307
48	78	1	5365
48	86	1	8180
48	87	1	7306
48	97	1	8927
48	98	1	7487
48	107	1	6544
48	110	1	8126
48	111	1	5642
48	113	1	7436
48	121	1	5517
48	122	1	8172
48	123	1	8467
48	124	1	5644
48	128	1	6967
48	129	1	9165
48	135	1	6228
48	141	1	8516
48	143	1	7364
48	144	1	7368
48	157	1	3920
48	158	1	7277
49	47	1	6952
49	48	1	5314
49	52	1	6695
49	54	1	7239
49	55	1	6427
49	60	1	4719
49	65	1	5836
49	67	1	7289
49	68	1	8949
49	74	1	8150
49	83	1	5180
49	85	1	5198
49	88	1	7187
49	91	1	6173
49	93	1	10239
49	95	1	6945
49	96	1	10916
49	102	1	5363
49	103	1	6547
49	104	1	5123
49	109	1	6067
49	110	1	7477
49	115	1	7645
49	117	1	7697
49	119	1	7989
49	120	1	6754
49	121	1	9810
49	123	1	7037
49	128	1	7457
49	129	1	6567
49	136	1	6001
49	140	1	6405
49	158	1	6869
49	161	1	6244
49	166	1	8396
50	12	1	7060
50	23	1	4814
50	33	1	7907
50	36	1	5735
50	48	1	8284
50	49	1	9600
50	54	1	6134
50	59	1	6124
50	62	1	7248
50	66	1	7097
50	67	1	7755
50	70	1	7924
50	76	1	6500
50	77	1	7518
50	79	1	6180
50	80	1	6857
50	83	1	5486
50	88	1	7045
50	93	1	6624
50	96	1	7252
50	102	1	8554
50	105	1	6200
50	106	1	6277
50	108	1	5724
50	110	1	7518
50	115	1	8305
50	116	1	5299
50	122	1	5955
50	123	1	6558
50	125	1	7401
50	126	1	6689
50	127	1	7346
50	128	1	7344
50	129	1	7061
50	133	1	6484
50	140	1	7486
50	141	1	6717
50	163	1	5953
51	20	1	9118
51	36	1	6838
51	46	1	7381
51	49	1	8636
51	59	1	5173
51	61	1	8097
51	67	1	5957
51	75	1	8193
51	79	1	9560
51	82	1	7696
51	84	1	6068
51	88	1	6800
51	91	1	6233
51	92	1	5303
51	93	1	4836
51	95	1	5115
51	96	1	6327
51	100	1	7239
51	103	1	6112
51	106	1	6828
51	108	1	5357
51	109	1	5970
51	111	1	5921
51	113	1	6630
51	117	1	6890
51	119	1	7049
51	122	1	6725
51	124	1	8977
51	131	1	6968
51	132	1	7346
51	136	1	7292
51	138	1	5165
51	139	1	5136
51	145	1	4645
51	146	1	8631
51	147	1	6934
51	148	1	6166
51	150	1	6301
51	154	1	6348
51	155	1	6659
51	161	1	5854
51	164	1	11011
51	165	1	8066
51	166	1	5121
52	30	1	6933
52	48	1	9711
52	51	1	3831
52	54	1	5688
52	66	1	6559
52	68	1	6341
52	74	1	4708
52	81	1	5086
52	83	1	6368
52	85	1	6972
52	87	1	7016
52	89	1	6499
52	93	1	6720
52	94	1	8193
52	95	1	4523
52	98	1	7518
52	101	1	7124
52	103	1	5091
52	104	1	6742
52	105	1	7375
52	107	1	7007
52	111	1	6496
52	112	1	8377
52	113	1	6813
52	116	1	6605
52	117	1	6229
52	118	1	4113
52	122	1	10058
52	123	1	6829
52	126	1	6201
52	130	1	5438
52	134	1	7343
52	137	1	7243
52	138	1	7182
52	141	1	6899
52	143	1	5918
52	144	1	5633
52	148	1	6231
52	154	1	7075
52	155	1	4512
