s_coef,death_rate,adv_rate,push_prop,mut_rate,sample_diameter,vaf_cutoff,seed,diameter,genetic_cluster,value_enn,value_lsi,chindex,sackin_value,sackin_p_value,mean_internal,mean_terminal,inter_terminal_ratio,genetic_class_num,sample_num,sackin_value_normalised,smallest_genetic_ratio,cat1,cat2,n_cross_edges,n_cat1,n_cat2,n_samples,silhouette_mean
0,0.3,0,0.4,0.6,16,0,77,200,2,0,1.38,4.378349451,118,NA,65.09090909,257.9166667,0.252371861,2,24,-0.635249689,0.5,1,2,14,12,12,24,0.218006344
0,0.3,0,0.5,0.6,16,0,37,200,2,0,1.38,4.084387036,137,NA,41.625,250.75,0.166001994,2,26,-0.439608663,0.5,1,2,18,13,13,26,0.188646548
0,0.3,0,0.2,0.6,16,0,9,200,2,0,1.38,4.114375765,118,NA,49.54545455,265.8541667,0.18636328,2,24,-0.635249689,0.458333333,1,2,15,11,13,24,0.2059209
0,0.3,0,0.2,0.6,16,0,40,200,2,0,1.29,4.310885922,128,NA,44.45454545,258.7083333,0.171832677,2,24,-0.218583022,0.416666667,1,2,15,10,14,24,0.21254542
0,0.3,0,0.4,0.6,16,0,44,200,3,0,1.46,2.884340509,133,NA,39.85416667,230.7115385,0.172744575,3,26,-0.593454817,0.269230769,1,2,8,9,10,19,0.15157786
0,0.3,0,0.4,0.6,16,0,44,200,3,0,1.46,2.884340509,133,NA,39.85416667,230.7115385,0.172744575,3,26,-0.593454817,0.269230769,1,3,8,9,7,16,0.203976244
0,0.3,0,0.4,0.6,16,0,44,200,3,0,1.46,2.884340509,133,NA,39.85416667,230.7115385,0.172744575,3,26,-0.593454817,0.269230769,2,3,6,10,7,17,0.17702662
0,0.3,0,0.8,0.6,16,0,65,200,2,0,1.29,3.688128602,131,NA,45.54166667,267.5769231,0.170200278,2,26,-0.670377894,0.307692308,1,2,14,18,8,26,0.193644991
0.6,0.3,1.00E-06,1,0.6,16,0,21,200,2,0,1.42,2.790174235,133,NA,42.22916667,235.0384615,0.179669176,2,26,-0.593454817,0.269230769,1,2,17,7,19,26,0.142163113
0,0.3,0,0.4,0.6,16,0,34,200,2,0,1.38,3.711182107,126,NA,50.27272727,236.5833333,0.212494797,2,24,-0.301916356,0.291666667,1,2,14,17,7,24,0.196788393
0.4,0.3,1.00E-06,1,0.6,16,0,131,200,2,0,1.38,2.860170699,144,NA,39.64583333,243.1346154,0.163061246,2,26,-0.170377894,0.461538462,1,2,17,14,12,26,0.121340194
