s_coef,death_rate,adv_rate,push_prop,mut_rate,sample_diameter,vaf_cutoff,seed,diameter,genetic_cluster,value_enn,value_lsi,chindex,sackin_value,sackin_p_value,mean_internal,mean_terminal,inter_terminal_ratio,genetic_class_num,sample_num,sackin_value_normalised,smallest_genetic_ratio,cat1,cat2,n_cross_edges,n_cat1,n_cat2,n_samples,silhouette_mean,whole_adv_freq
0.6,0.3,1.00E-06,1,0.6,16,0,121,200,2,0,1.38,3.43269617,140,NA,43,257.3333333,0.167098446,2,24,0.281416978,0.333333333,1,2,16,8,16,24,0.172194378,0
0.4,0.3,1.00E-06,1,0.6,16,0,25,200,2,0,1.36,3.236872008,116,NA,44.6,229.3181818,0.194489594,2,22,-0.108899228,0.409090909,1,2,14,13,9,22,0.182597588,0.049479167
0.4,0.3,1.00E-06,1,0.6,16,0,123,200,2,0,1.46,2.556194989,155,NA,38.88636364,246.9166667,0.157487804,2,24,0.906416978,0.416666667,1,2,17,10,14,24,0.111003191,0
0.4,0.3,1.00E-06,1,0.6,16,0,149,200,2,0,1.35,4.952928763,114,NA,40.97222222,162.675,0.251865512,2,20,0.504520686,0.25,1,2,10,5,15,20,0.348666925,0.287428023
0.2,0.3,1.00E-06,1,0.6,16,0,35,200,3,0.12,1.96,2.469043791,120,NA,36.13636364,232.5833333,0.155369532,3,24,-0.551916356,0.25,1,2,17,7,11,18,0.120067026,0
0.2,0.3,1.00E-06,1,0.6,16,0,35,200,3,0.12,1.96,2.469043791,120,NA,36.13636364,232.5833333,0.155369532,3,24,-0.551916356,0.25,1,3,6,7,6,13,0.192017761,0
0.2,0.3,1.00E-06,1,0.6,16,0,35,200,3,0.12,1.96,2.469043791,120,NA,36.13636364,232.5833333,0.155369532,3,24,-0.551916356,0.25,2,3,7,11,6,17,0.162018865,0
0.6,0.3,1.00E-06,1,0.6,16,0,117,200,2,0,1.42,3.254196463,134,NA,38.31818182,231.9583333,0.165194245,2,24,0.031416978,0.291666667,1,2,15,7,17,24,0.172866408,0
0.2,0.3,1.00E-06,1,0.6,16,0,97,200,2,0,1.33,4.519297742,131,NA,43.37681159,236.9733333,0.183045117,2,25,-0.391916356,0.36,1,2,15,9,16,25,0.219318499,0
0.2,0.3,1.00E-06,1,0.6,16,0,71,200,2,0,1.29,3.573991632,122,NA,44.68181818,228.0416667,0.19593708,2,24,-0.468583022,0.333333333,1,2,14,16,8,24,0.196681859,0
0.6,0.3,1.00E-06,1,0.6,16,0,24,200,2,0,1.42,3.420456212,142,NA,46.52272727,238.3541667,0.195183193,2,24,0.364750311,0.208333333,1,2,14,5,19,24,0.200371376,0
0.2,0.3,1.00E-06,1,0.6,16,0,34,200,2,0,1.38,3.304824559,148,NA,47.625,223.3076923,0.213270754,2,26,-0.01653174,0.461538462,1,2,15,14,12,26,0.145387823,0
0.6,0.3,1.00E-06,1,0.6,16,0,138,200,2,0,1.4,2.453838247,54,NA,19.16666667,98.32051282,0.19494067,2,13,-0.206421356,0.307692308,1,2,9,4,9,13,0.216319358,0.465937763
0.6,0.3,1.00E-06,1,0.6,16,0,193,200,2,0,1.35,2.163082884,97,NA,15.67708333,102.3148148,0.153223982,2,18,0.398672732,0.277777778,1,2,11,13,5,18,0.135605791,0.473096447
0.6,0.3,1.00E-06,1,0.6,16,0,2,200,2,0,1.35,4.371220492,115,NA,24.44444444,101.1,0.241784812,2,20,0.554520686,0.45,1,2,12,11,9,20,0.24773951,0.489335771
