sample,mutation_count,min_distance,location,max_distance,s_coef,death_rate,adv_rate,push_prop,mut_rate,sample_diameter,seed
S25,528,75.66372975,center,276.4796557,0,0.3,0,1,0.6,8,13
S26,542,86.58521814,center,276.4796557,0,0.3,0,1,0.6,8,13
S27,547,64.40496875,edge,276.4796557,0,0.3,0,1,0.6,8,13
S28,575,41,edge,276.4796557,0,0.3,0,1,0.6,8,13
S29,699,18.35755975,edge,276.4796557,0,0.3,0,1,0.6,8,13
S30,633,22.20360331,edge,276.4796557,0,0.3,0,1,0.6,8,13
S31,597,43.96589587,edge,276.4796557,0,0.3,0,1,0.6,8,13
S32,552,58.46366393,edge,276.4796557,0,0.3,0,1,0.6,8,13
S33,575,63.5688603,edge,276.4796557,0,0.3,0,1,0.6,8,13
S34,566,54.12947441,edge,276.4796557,0,0.3,0,1,0.6,8,13
S35,665,33.52610923,edge,276.4796557,0,0.3,0,1,0.6,8,13
S36,723,10.77032961,edge,276.4796557,0,0.3,0,1,0.6,8,13
S37,701,11.70469991,edge,276.4796557,0,0.3,0,1,0.6,8,13
S38,640,27.20294102,edge,276.4796557,0,0.3,0,1,0.6,8,13
S39,620,35.4682957,edge,276.4796557,0,0.3,0,1,0.6,8,13
S40,602,40.19950248,edge,276.4796557,0,0.3,0,1,0.6,8,13
S41,621,33.42154993,edge,276.4796557,0,0.3,0,1,0.6,8,13
S42,677,21.26029163,edge,276.4796557,0,0.3,0,1,0.6,8,13
S43,726,6.08276253,edge,276.4796557,0,0.3,0,1,0.6,8,13
S44,680,14.31782106,edge,276.4796557,0,0.3,0,1,0.6,8,13
S45,672,16.4924225,edge,276.4796557,0,0.3,0,1,0.6,8,13
S46,722,12.04159458,edge,276.4796557,0,0.3,0,1,0.6,8,13
S1,649,5.385164807,edge,276.4868894,0,0.3,0,1,0.6,8,14
S2,763,4.472135955,edge,276.4868894,0,0.3,0,1,0.6,8,14
S3,708,16.76305461,edge,276.4868894,0,0.3,0,1,0.6,8,14
S4,630,25.29822128,edge,276.4868894,0,0.3,0,1,0.6,8,14
S5,617,28.23118843,edge,276.4868894,0,0.3,0,1,0.6,8,14
S6,598,21.9317122,edge,276.4868894,0,0.3,0,1,0.6,8,14
S7,643,11.66190379,edge,276.4868894,0,0.3,0,1,0.6,8,14
S8,697,17.49285568,edge,276.4868894,0,0.3,0,1,0.6,8,14
S9,613,36.35931793,edge,276.4868894,0,0.3,0,1,0.6,8,14
S10,558,47.88527958,edge,276.4868894,0,0.3,0,1,0.6,8,14
S11,576,51.19570294,edge,276.4868894,0,0.3,0,1,0.6,8,14
S12,537,43.65775991,edge,276.4868894,0,0.3,0,1,0.6,8,14
S13,577,28.60069929,edge,276.4868894,0,0.3,0,1,0.6,8,14
